product_id,product_name,brand,main_category,countries,ingredient_count,ingredients,nutriscore_grade,ecoscore_grade,energy_kcal_100g,fat_100g,carbohydrates_100g,proteins_100g,source
8076809545396,Pesto Basilico e Rucula,Barilla,groceries,australia | austria | belgium | france | germany | italy | liechtenstein | reunion,15,sonnenblumenöl | basilikum 21 | petersilie 12 | käse pecorino romano g.u | cashewkerne | rucola 3 | molkepulver | ricotta käse (molke | milch | salz | säureregulator: milchsäure und citronensäure | buttermilchpulver | thymian | natürliche aromen | knoblauch,e,c,444.0,44.0,6.7,4.5,Open Food Facts
6111184001203,Moutarde 10.50 g,Star,groceries condiments sauces epicerie moutardes,morocco,5,graines de moutarde | vinaigre de table | huile de soja | stabilisants | conservateur e224 et antioxydant e330,e,b,158.7,11.19,7.07,7.44,Open Food Facts
8715700423913,Tomato ketchup,Heinz,tomato ketchup,france | switzerland,5,tomates | vinaigre d'alcool | extraits d'épices et d'herbes | édulcorant | épice,c,a,64.0,0.1,12.0,1.4,Open Food Facts
8710522922019,Ketchup 5 Ingrédients,Amora,groceries,france | reunion,4,tomatoes (78 | alcohol vinegar | salt (0 | spice extract (0,c,a,74.0,0.5,15.0,1.5,Open Food Facts
3011360030498,Mayonnaise Classique à l'huile de colza,Lesieur,groceries,france,13,rapeseed oil | egg yolks of hens raised outdoors | vinegars (alcohol | white wine | dijon mustard 4 | mustard seed | vinegar | antioxidant : disulfite of potassium | acidifying : citric acid | modified starch | concentrated lemon juice | colouring agents : lutein and paprika extract | natural mustard flavour,d,d,650.0,70.0,2.8,1.0,Open Food Facts
8480000038524,Guacamole,Hacendado,guacamoles,portugal | spain,10,aguacate | cebolla deshidratada | jalapeño | antioxidantes (ácido ascórbico | ascorbato sódico | citrato sódico | corrector de acidez | conservador | aroma de ajo | cilantro deshidratado,c,c,149.0,13.7,2.0,1.9,Open Food Facts
8715700421353,Tomato ketchup,Heinz,groceries,belgium | france | italy | switzerland,6,pomodori | aceto di alcool | zucchero | sale | estratti di spezie ed erbe aromatiche | spezie,d,a,102.0,0.1,23.2,1.2,Open Food Facts
8712100731822,Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,"Amora, Unilever",spécialité à la moutarde,france | morocco,19,moutarde de dijon (eau | graines de moutarde brunes | vinaigre d'alcool | acidifiant : acide citrique | conservateur : e224 | vinaigre de malt | farine de blé | miel 1 | épices et aromates 0 | curcuma | cannelle | ail | noix de muscade | oignon | piment de cayenne | graines de céleri | clou de girofle | graines de moutarde blanches | estragon,e,a,124.0,4.8,15.0,3.8,Open Food Facts
8076809513388,Arrabbiata,Barilla,arrabbiata sauces,australia | austria | belgium | bulgaria | denmark | finland | france | germany,11,polpa di pomodoro | concentrato di pomodoro | cipolla | olio di girasole | peperoni rossi | aglio | prezzemolo | sale | zucchero | peperoncino 0 | aroma naturale,a,a-plus,60.0,3.1,5.5,1.4,Open Food Facts
8712100751370,AMORA Ketchup Flacon Souple 550g,Amora,ketchup,france | morocco | reunion,4,tomates | vinaigre d'alcool | arômes naturels | épices,d,b,99.0,0.5,22.0,1.2,Open Food Facts
6111184000701,Star moutarde 200 g,Star,groceries,morocco,4,sesame seeds | seed | sesame | e330,unknown,b,148.0,10.97,4.95,7.44,Open Food Facts
8711200548002,mayonnaise de Dijon,amora,dijon mayonnaises,belgium | france | switzerland,8,huile de colza | vinaigre de vin blanc | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | arôme | épaississant :gomme xanthane | colorants :lutine et extrait de paprika,c,c,648.0,70.0,1.6,1.2,Open Food Facts
8718114734484,Maille Mayonnaise,Maille,groceries,france | germany | morocco,14,huile de tournesol | jaune d'oeuf | moutarde de dijon | graines de moutarde | vinaigre d'alcool | conservateur : e224 | acidifiant: acide lactique | épaississant gomme xanthane | poivre | antioxydants: e385 | romarin | colorants: luteine | extrait de paprika | épices,d,d,664.0,72.0,1.3,1.6,Open Food Facts
8715035110304,Sauce Soja,Kikkoman,soy sauces,spain,6,soya bean | vegetable | legume | pulse | soya | wheat,e,a,77.0,0.0,3.2,10.0,Open Food Facts
6111250472241,Bol Bol Ketchup,Bol&Bol,ketchup,morocco,4,concentré de tomate | vinaigre de table | amidon de pomme de terre modifié | sel et arôme,e,b,122.0,0.1,28.0,1.0,Open Food Facts
8715700112596,"Ketchup zéro sel ajouré, 70% moins de sucres",Heinz,ketchup,belgium | france | germany | spain,8,tomatoes | spirit vinegar | lemon juice concentrate | potassium chloride | acidifier | citrus fibre | spice and herb extracts | sweetener,a,a,53.33,0.1,5.4,1.6,Open Food Facts
8720182557315,Maille mout fin gour 320g,Maille,mustards,belgium | france,13,moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium | huile de colza | moutarde à l'ancienne (vinaigre d'alcool | arôme naturel | vin blanc 1 | amidon modifié de pomme de terre | farine de moutarde | épaississant : gomme xanthane | épices,e,a,354.0,35.0,3.3,5.0,Open Food Facts
87157635,Tomato Ketchup,Heinz,groceries,bulgaria | france | greece | romania | serbia | spain,4,tomates | vinaigre | extraits d'épices et d'herbes | épice,d,a,102.0,0.1,23.2,1.2,Open Food Facts
8720182557452,Moutarde à l’ancienne,"Maille, Unilever",old style mustards,france | germany,5,vinaigre d'alcool | graines de moutarde | arôme naturel | acidifiant : acide lactique | conservateur : disulfite de potassium,e,a,172.0,10.0,9.3,6.9,Open Food Facts
8722700113348,Amora,Ketchup,groceries,france | morocco | switzerland,9,tomato ketchup | ingredients: tomatoes | spirit vinegar | natural flavourings | 'tomatoes from sustainable farming | average nutritional values per 100 g | per 15 g serving | % / 15 g | energy value: 414 kj/,d,a,99.0,0.5,22.0,1.2,Open Food Facts
8715700017006,Tomato Ketchup,Heinz,tomato ketchup,france | germany | morocco | spain | switzerland,5,tomates | vinaigre | extraits d'épices | extrait d'herbes | épice,d,a,102.0,0.1,23.2,1.2,Open Food Facts
6111184004716,Star moutarde,Star moutarde de Dijon,groceries,morocco,6,mustard seeds | table vinegar | soybean oil | stabilizers (e412 | eă15 | preservative e224 and antioxidant e330,e,b,158.7,11.19,4.95,7.44,Open Food Facts
3292070001576,Houmous sésame,Blini,groceries,france | switzerland,8,traces éventuelles de : lait | soja | céréales contenant du gluten | crustacés | œufs | poissons | moutarde | mollusques,b,a,271.0,22.2,8.4,5.8,Open Food Facts
8711200584383,Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,"Maille, Unilever",vinaigrettes au sésame,france | germany,12,huile de colza | vinaigre de vin rouge | sauce soja (eau | graines de soja | blé | vinaigre d'alcool | alcool | vinaigre de vin blanc | huile de sésame 5 | graines de sésame torréfiées 2 | épaississants : carraghénanes et gomme xanthane | épices. peut contenir : moutarde,d,c,373.0,37.0,6.3,1.9,Open Food Facts
8005110517006,Pasta sauce,Mutti,tomato sauces with basil,belgium | france | germany | netherlands | united kingdom,9,gehackte tomaten | passierte tomaten | tomatenmark 10 | olivenöl | zwiebeln | basilikum 1 | karotten | natürliche aromen | salz,a,a-plus,56.0,2.8,5.3,1.6,Open Food Facts
8076809513746,Pesto alla Genovese,Barilla,green pestos,albania | austria | bulgaria | france | germany | greece | poland | romania,13,huiles végétales (olive | tournesol | basilic frais | noix de cajou | fromage parmigiano reggiano aop | fibre de maïs | lactosérum en poudre | protéines de lait | huile d'olive vierge extra | extrait de basilic | arômes naturels | correcteur d'acidité : acide lactique | ail. peut contenir des traces d'autres fruits à coque,e,c,492.0,46.0,9.8,4.7,Open Food Facts
3250541920139,MAILLE Mayonnaise Fins Gourmets Bocal 320g,Maille,groceries,france | luxembourg,12,huile de colza | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | jaune d'œuf | vinaigre de cidre | moutarde à l'ancienne 2 | arôme naturel | jus de citron concentré | épices | antioxydant : extraits de romarin | colorant : caroténoïdes,e,d,653.0,71.0,0.8,1.9,Open Food Facts
8715035130104,Salsa di Soia,Kikkoman,soy sauces,belgium | bulgaria | france | germany | ireland | italy | netherlands | norway,7,acqua | soia | frumento | sale | aceto di spirito | alcol | zucchero,e,a-plus,107.0,0.0,6.9,9.7,Open Food Facts
8076809543934,Provencale 400g fra,Barilla,groceries,france | italy,10,pulpe de tomates | concentré de tomates | oignons | huiles végétales (olive | tournesol | persil 0 | thym 0 | ail | origan 0 | poivre noir,a,a,66.0,3.5,6.4,1.4,Open Food Facts
50457243,Heinz Ketchup,Heinz,groceries,ireland | morocco | united kingdom,3,tomatoes | spirit vinegar | spice and herb extracts,a,a,,,,,Open Food Facts
8480000171320,Tomate frito,Hacendado,groceries,morocco | portugal | romania | spain,5,tomate | aceite refinado de girasol | almidón de maíz | cebolla | ajo y conservador,c,b,81.0,3.5,9.5,1.5,Open Food Facts
8076809517751,Pesto alla Calabrese 190g,Barilla,red pestos,france | germany | italy | switzerland,15,poivrons rouges | huile de tournesol | fromage ricotta | lait | oignons | concentré de tomates | lactosérum en poudre | fromage pecorino romano aop | fromage grana padano aop (lait | lysozyme d'oeuf | amidon de riz | correcteur d'acidité : acide lactique | piment 0 | origan | arôme naturel,e,c,337.0,32.0,8.3,3.3,Open Food Facts
50457236,Ketchup,Heinz,groceries,ireland | united kingdom,3,tomatoes | spirit vinegar | spice and herb extracts,c,a,100.0,0.0,23.2,1.2,Open Food Facts
3038359004544,Sauce Tomate concentrée cuisinée aux petits légumes,Panzani,sauces tomates cuisinée aux petits légumes,france | germany,8,concentré de tomate | oignons réhydratés | huile de colza | farine de ble | fromage edam | carottes 0 | arôme naturel d'épices et aromates | jus de citron,d,b,137.0,7.3,14.0,2.8,Open Food Facts
8710522920725,AMORA Mayonnaise 5 Ingrédients 400g,Amora,groceries,france,3,graines de moutarde | vinaigre d'alcool | une touche de sel 0,c,d,697.0,76.0,0.5,1.5,Open Food Facts
87157277,Tomato Ketchup 910g,"Heinz, Fach 3",groceries,belgium | france | germany | switzerland,5,tomates | vinaigre | extraits d'épices et d'herbes | céleri | épice,d,a,102.0,0.1,23.2,1.2,Open Food Facts
20425555,Pesto alla Genovese,Italiamo,condimentos,austria | bulgaria | germany | portugal | spain | switzerland,11,40 | huile de numesol | basilic | noix de cajou | parmigiano reggiano aop (lait | sel poudre de lactoserum | lactoprotéines | huile d'olive vierge extra | al | and mais correcteur d'acidité: acide lactique | antioxydant: acide ascorbique. t,e,c,464.0,45.4,8.7,4.5,Open Food Facts
8480000808585,Hummus Classic,Hacendado,groceries,portugal | romania | spain,7,garbanzos | aceite de girasol | pasta de sésamo | zumo de limón | aceite de oliva 1 | ajo molido | acidulantes y conservador . contiene: sésamo,b,b,311.0,25.8,11.1,6.0,Open Food Facts
8711200548033,Amora Mayonnaise De Dijon Flacon Souple 235g,"Amora, Unilever",groceries,france | morocco | switzerland,9,huile de colza | vinaigre de vin blanc | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | jaune d'œuf origine france 5 | arômes | épaississant : gomme xanthane | colorants : lutéine et extrait de paprika,c,d,,,,,Open Food Facts
8720182460042,AMORA MUST Miforte 415g,Amora,mustards,france,7,graines de moutarde | vinaigre d'alcool | huile de colza | farine de moutarde | stabilisant : gomme xanthane | acidifiant : acide citrique | conservateur : disulfite de potassium,e,a,271.0,25.0,2.6,5.9,Open Food Facts
3038352875035,Tomacouli Nature,Panzani,tomates et dérivés,france,5,fresh tomatoes | vegetable | fruit vegetable | tomato | e330,a,b,27.0,0.1,4.5,1.2,Open Food Facts
80042563,Mutti Solo Pomodoro Parma Passierte italienische Tomaten,Mutti,groceries,albania | australia | belgium | bulgaria | france | germany | italy | netherlands,3,tomato | vegetable | fruit vegetable,b,a-plus,36.0,0.5,5.1,1.6,Open Food Facts
3660603004774,Sauce Béarnaise bocal,Benedicta,shelf stable other sauces,france,11,huile de colza | vinaigre d'alcool | jaunes d'œufs | estragon (1 | échalotes (1 | cerfeuil | jus de citron à base de concentré | piment fort | arôme naturel | amidon modifié | colorant : bêta carotène,d,d,477.0,50.9,4.0,0.5,Open Food Facts
8714100846179,Maille Vinaigrette Légère Vinaigre de Vin Rouge & Échalotes 36cl,Maille,vinaigrette légère,france | germany,9,vinaigre de vin rouge | huile de colza | jus de raisin concentré | oignon rouge en poudre 0 | épaississants : carraghénanes et gomme xanthane | échalote en poudre 0 | épices (piment jalapeño | paprika). peut contenir : moutarde | sésame,not-applicable,d,342.0,35.0,4.5,0.5,Open Food Facts
8711200547982,Mayonnaise de Dijon,Amora,groceries,france,11,vegetable oils (sunflower | rapeseed | white wine vinegar | dijon mustard (water | mustard seeds | spirit vinegar | egg yolk from france | dextrin | thickener : xanthan gum | aroma | colourings : lutein and paprika extract,c,c,648.0,70.0,1.6,1.2,Open Food Facts
8480000235794,Ketchup,Hacendado,molhos de tomate,morocco | portugal | spain,5,tomate | vinagre de alcohol | almidón modificado de maíz | conservadores | extracto de especias y especia,d,b,115.0,0.0,27.0,1.3,Open Food Facts
3034450001123,Viandox 160ml,Konrad,groceries,france | spain,11,extrait de levure | arômes | colorants : e 150c et e 150a | sauce soja (eau | graines de soja | blé | exhausteurs de goût : glutamate de sodium | inosinate disodique et guanylate disodique | acidifiants : acide lactique et acide citrique | sirop de glucose | émulsifiant : mono et diglycérides d'acides gras,e,unknown,45.0,0.5,6.8,5.4,Open Food Facts
3036810201280,Dijon Originale Senf,Maille,dijon mustards,belgium | denmark | france | germany | italy | netherlands | portugal | romania,5,wasser | senfkörner | branntweinessig | speisesalz saverungsmittel: citronensäure | konservierungsstoff: kaliummetabisulfit,e,a,141.67,3.2,7.8,0.06,Open Food Facts
3038359011450,Panzani sce provencale 425g,Panzani,provencale sauces,france,8,carottes | oignons | huile d'olive vierge | amidon | persil | herbes de provence 0 | arômes naturels d'herbes | extrait d'oignon,a,b,56.0,1.8,7.8,1.5,Open Food Facts
3292070006564,Guacamole Extra,L'atelier Blini,guacamoles,france,6,piment rouge | crustacés | oeufs | poissons | lait | graines de sésame et mollusques,a,c,111.0,8.3,5.6,1.5,Open Food Facts
8715700421957,Mayonnaise American Style,Heinz,groceries,france | germany | morocco,6,huile de colza | vinaigre | amidon | graines de moutarde | épices | antioxydant,c,d,597.51,70.0,3.0,0.8,Open Food Facts
8410066139231,Tomato Frito,Heinz,tom,belgium | germany | morocco | netherlands,6,tomaten | plantaardige oliën 3 | zonnebloem | suiker | gemodificeerd zetmeel | zout,a,a,73.0,3.5,9.3,1.1,Open Food Facts
8722700125174,Amora Sauce Burger 260g,Amora,groceries,france | morocco,20,huile de colza | vinaigre d'alcool | purée de tomates double concentrée | moutarde (eau | graines de moutarde | arômes | épices | amidon modifié de maïs | sauce worcestershire (eau | sirop de glucose | vinaigre de malt d'orge | extrait d'oignon | anchois | jus de citron concentré | herbes | ail en poudre | jaune d'œuf | épaississant : gomme xanthane | antioxydant : calcium disodium edta | colorant : caroténoïdes,d,c,240.0,21.0,11.0,1.1,Open Food Facts
6111250474641,Moutarde,,groceries,france | morocco,5,graines de moutarde | vinaigre de table | épaississant gomme xanthane | huile de colza | antioxydants acide citrique et disulfite de potassium,e,b,111.0,7.9,3.1,5.2,Open Food Facts
8076809581868,Pesto Basilico e Pistacchio,Barilla,cooking sauces,france | germany | italy,10,olio di girasole | basilico | fibra di mais | siero di latte in polvere | sale | proteine del latte | pistacchi | mandorle | anacardi | aromi naturali,e,d,476.0,44.0,13.0,2.9,Open Food Facts
87157154,Classic Barbecue - Smokey & Rich,Heinz,barbecue sauces,belgium | estonia | france | hungary | spain | switzerland,12,összetevők paradicsompüré | ételecet | cukor | melasz | ivóvíz | módosított keményítő | étkezési só | fűszerek | fokhagyma | sürítőanyag | füstaroma | aromák,d,b,138.0,0.2,34.0,0.9,Open Food Facts
3292070006571,Houmous extra citron confit & coriandre,L'atelier Blini,hummus,france | switzerland,8,sirop de glucose fructose | saccharose | crustacés | oeufs | poissons | soja | lait | moutarde et mollusques,b,b,306.0,24.7,9.5,7.8,Open Food Facts
8711200459926,Amora Sauce Crudites Nature,Amora,sauces crudites,france,10,rapeseed oil | apple cider vinegar² (apple cider vinegar | concentrated apple must | corn starch² | egg yolk² | salt² | onion powder² | stabilizer: guar gum² | natural mustard flavour² | ²ingredients of natural origin,c,d,255.0,26.0,4.9,0.5,Open Food Facts
3478820023641,Sauce tomate Basilic Jardin BIO,"Jardin Bio, Jardin biologique, Léa Nature",groceries,france,11,tomates (purée de tomates mi réduite | pulpe de tomates | oignons en morceaux | basilic 1 | sel marin | purée d'ail | sucre de canne | huile d'olive vierge extra | huile de tournesol | poivre noir | produits issus de l'agriculture biologique,b,a-plus,52.0,1.7,6.2,1.6,Open Food Facts
3660603081904,Mayonnaise comme à la maison,Bénédicta,groceries,france,11,huile de colza | moutarde de dijon 8 | graines de moutarde | vinaigre d'alcool | vinaigres | sel 0 | jus de citron à base de concentré | épices 0 | poivre blanc | curcuma | paprika,c,d,731.0,80.1,0.8,1.6,Open Food Facts
0011210697003,Sriracha Sauce🙂,"Haugen - gruppen as, TABASCO",sweet chili sauces,belgium | france | germany | morocco | romania | spain | united kingdom,9,rote jalapeño chilischoten 42 | wasser | zucker | salz | knoblauch 8 | branntweinessig | verdickungsmittel xanthan | rote chilisauce (branntweinessig | rote chilischoten,e,unknown,140.0,0.45,31.6,2.48,Open Food Facts
8712100872273,Maille Moutarde Fine De Dijon L'Originale Verrine 165g,Maille,groceries,france,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,e,a,144.0,10.0,2.6,7.6,Open Food Facts
8076809570596,Barilla sauce tomates cuisinees 400g,Barilla,groceries,france,8,pulpe de tomates 40 | concentré de tomates | oignons 12 | huile de tournesol | carottes 3 | arômes naturels | basilic 0 | ail,c,a,68.0,4.0,6.0,1.3,Open Food Facts
6111184006413,Sauce pizza star 350 g,Star,groceries,morocco,3,tomates | concentré de tomate | épices . correcteur d'acidité: contient du céleri,d,b,52.0,0.1,11.2,1.5,Open Food Facts
8715035110809,Soy Sauce,Kikkoman,soy sauces,france | germany | italy | netherlands | poland | portugal | spain | sweden,6,soya bean | vegetable | legume | pulse | soya | wheat,e,d,77.0,0.0,3.2,10.0,Open Food Facts
20037154,Sauce tomate au basilic,Combino,groceries,austria | czech republic | finland | france | germany | spain | switzerland,7,tomates concassées | double concentré de tomates | huile d'olive | oignons | basilic | amidon modifié de maïs | ail,b,a,45.0,1.2,6.2,1.3,Open Food Facts
50457250,Tomato Ketchup,Heinz,groceries,netherlands | united kingdom,3,tomatoes | spirit vinegar | spice and herb extracts,d,a,100.0,0.1,23.2,1.2,Open Food Facts
4056489470847,Tomato Ketchup,"Kania, Lidl",ketchup,france | greece | italy | portugal | spain | united kingdom,6,concentrado doble de tomate | vinagre de alcohol | almidón modificado de maíz | cebolla | ajo | clavo,d,a,96.0,0.1,22.0,1.3,Open Food Facts
8001060001329,Sauce Arrabiata,Saclà,arrabbiata sauces,france,12,purée de tomates | huile de tournesol | tomates séchées | arômes naturels | fructose | vinaigre de vin | oignon en poudre | ail | huile d'olive vierge extra | piment en poudre | poivre noir moulu | correcteur d'acidité: acide lactique,d,a,288.0,27.0,7.1,2.2,Open Food Facts
3760077538482,Pesto alla Genovese,Florelli,groceries,france,10,basilic frais 44 | huile de tournesol | pommes de terre | noix de cajou | fromage grana padano aop | ail | pignons de pin | huile d'olive | jus de citron concentré | fromage pecorino romano aop 0,e,c,403.0,42.0,2.4,3.4,Open Food Facts
3292070008551,Houmous bio,L'atelier Blini,groceries,france,6,pois chiches | huile de tournesol | pâte de sesame | graines de sesame grillées | acidifiant (acide citrique | acide lactique). issus de l'agriculture biologique,c,a-plus,312.0,26.6,8.0,7.6,Open Food Facts
3265479724001,Vinaigrette Balsamique Ciboulette - Echalotes,Puget,groceries,france,17,extra virgin olive oil | rapeseed oil | white wine vinegar | and red wine vinegar | ketchup (semi reduced tomato puée | vinegar | modified starch | acidifier: citric acid | balsamic vinegar 3 | wine vinegar | concentrated grape must | dye: e150d | preservative: potassium disulfite | chives 3 | shallot | garlic | aroma,d,d,304.0,32.0,2.4,0.3,Open Food Facts
3038359011481,Sauce basilic aux tomates fraîches de saison,Panzani,tomato sauces with basil,france | germany,7,fresh vegetables (onions | carrots | virgin olive oil | basil 1 | starch | onion extract | parsley,a,b,62.0,2.3,8.0,1.6,Open Food Facts
3478822005249,Ketchup,Jardin bio,epicerie,france | morocco | reunion,4,purée de tomates | sucre de canne brut | vinaigre d'alcool | épices,d,a-plus,102.0,0.5,22.0,1.2,Open Food Facts
8410076421449,Sauce apéritif Guacamole,Old el paso,groceries,france | switzerland,25,mashed avocado | finely spicy | ngrédients : water | avocado | chopped tomatoes | onions | flour of wheat | preparation of cheese | cream | starch | modified maize | rapeseed oil | flakes of potato solids | mashed garlic extract | whey | juis of green lemon concentrate | siopde anhydrous glucose | correctors of acidity: glucono delta lactone | citric acid | jalapeno pepper | dehydrated herbs | dextrose | antioxidant: ascorbic acid | dyes chlorophyllins | lutein,b,b,77.0,3.2,9.5,1.7,Open Food Facts
8710605030051,Sriracha Sauce Hot Chilli Sauce,Go-Tan,hot sauces,belgium | finland | france | netherlands | norway | spain,5,piments rouges | ail | correcteurs d'acidité (acide acétique | acide citrique | exhausteur de goût,e,unknown,131.0,0.26,28.0,2.1,Open Food Facts
3660603081843,Mayonnaise,Bénédicta,groceries,france,11,huile de colza | moutarde de dijon 5 | graines de moutarde | vinaigre d'alcool | vinaigre (vinaigre d'alcool | vinaigre de vin blanc | jus de citron à base de concentré | amidon modifié | épaississant : gomme xanthane | arômes | colorant : bêta carotène,c,c,653.0,71.0,2.1,1.2,Open Food Facts
4056489758716,Houmous,"Lidl, Saladinettes",hummus,france,14,pois chiche cuit (pois chiche | huile de colza | pâte de sésame | acidifiant: acide citrique | ail en poudre | antioxydant: acide ascorbique | cumin | traces éventuelles d'œufs | de poissons | de céréales contenant du gluten | de crustacés | de lait | de fruits à coque | de moutarde et de soja,a,b,254.0,19.8,7.5,7.4,Open Food Facts
8076809513692,Napoletana,Barilla,neapolitan sauces,australia | austria | belgium | bulgaria | czech republic | france | germany | lebanon,14,tomatenfruchtfleisch | tomatenmarkkonzentrat | zwiebeln | wasser | karotten 3 | sonnenblumenöl | zucker | salz | knoblauch 0 | thymian 0 | schnittlauch 0 | petersilie 0 | aromen | schwarzer pfeffer 0,a,a,72.0,3.7,6.2,1.4,Open Food Facts
20023218,Sauce Tomate Napolitaine,Combino,tomato sauces with vegetables,france | germany | switzerland,6,of crushed tomatoes | double concentrate tomatoes | onion | carrots | sunflower oil | modified starch corn,a,a,59.0,2.9,5.1,1.4,Open Food Facts
