id,name,category,dish_type,price,price_range,ingredients,detailed_ingredients,tags,description,is_available,sort_order,prep_time,image_url
11,Tai heo ngâm nước mắm,Khai vị,appetizer,140000,moderate,"tai heo,nước mắm,tỏi,ớt,đường,giấm","tai heo,nước mắm,tỏi,ớt,đường,giấm gạo,hành tím","khai_vi,heo,nguoi_lon",Tai heo giòn ngâm nước mắm chua ngọt đặc trưng.,1,11,15,
12,Tép đồng xào khế,Khai vị,appetizer,89000,affordable,"tép đồng,khế,sả,ớt,rau thơm","tép đồng tươi,khế chua,sả,ớt,rau răm,nước mắm,đường","khai_vi,hai_san,xao,dan_da",Tép đồng xào khế chua cay đậm vị quê hương.,1,12,15,
13,Cơm niêu,Cơm niêu,main_course,15000,budget,"gạo,nước","gạo thơm,nước sạch","com_nieu,them,trang",Cơm niêu đất dẻo thơm lớp cháy giòn đặc trưng.,1,1,30,
14,Cơm niêu cháy,Cơm niêu,main_course,18000,budget,"gạo,nước","gạo thơm,nước sạch","com_nieu,chay_gion,them",Phần cơm cháy giòn vàng ươm đặc trưng cơm niêu.,1,2,30,
15,Cơm niêu đập,Cơm niêu,main_course,40000,budget,"gạo,nước","gạo thơm,nước sạch","com_nieu,dap,them,doc_dao",Cơm niêu đập tại bàn trải nghiệm ẩm thực độc đáo.,1,3,35,
16,Trứng chiên hành,Đậu hũ - Trứng,main_course,45000,budget,"trứng gà,hành lá,dầu ăn,muối","trứng gà tươi,hành lá,dầu ăn,muối,tiêu","trung,chien,don_gian,chay_duoc",Trứng chiên vàng thơm hành lá đơn giản ngon miệng.,1,1,10,
17,Trứng chiên lá mơ,Đậu hũ - Trứng,main_course,55000,affordable,"trứng gà,lá mơ,dầu ăn,muối","trứng gà,lá mơ tươi,dầu ăn,muối,tiêu","trung,chien,thom_ngon,dan_da",Trứng chiên thơm mùi lá mơ đặc trưng dân dã.,1,2,10,
18,Đậu hũ sốt cà chua,Đậu hũ - Trứng,vegetarian,60000,budget,"đậu hũ,cà chua,tỏi,đường,nước mắm","đậu hũ,cà chua,tỏi,hành lá,đường,nước mắm chay,dầu ăn","dau_hu,chay,sot,chay_duoc",Đậu hũ sốt cà chua chua ngọt món chay thanh đạm.,1,3,15,
19,Đậu hũ sốt tiêu xanh,Đậu hũ - Trứng,main_course,65000,affordable,"đậu hũ,tiêu xanh,tỏi,bơ","đậu hũ,tiêu xanh,tỏi,bơ,nước mắm,đường,dầu ăn","dau_hu,cay,thom",Đậu hũ chiên giòn sốt tiêu xanh cay nồng.,1,4,15,
20,Đậu hũ lụa hấp tôm,Đậu hũ - Trứng,main_course,85000,affordable,"đậu hũ lụa,tôm,hành,gừng","đậu hũ lụa,tôm tươi,hành lá,gừng,nước tương,dầu mè","dau_hu,tom,hap,thanh_dan",Đậu hũ lụa hấp tôm thanh đạm bổ dưỡng.,1,5,20,
21,Trứng hấp thịt,Đậu hũ - Trứng,main_course,65000,affordable,"trứng gà,thịt heo,miến,nấm,hành","trứng gà,thịt heo xay,miến,nấm mèo,hành lá,nước mắm,tiêu","trung,hap,heo,man",Trứng hấp nhân thịt heo nấm thơm ngon.,1,6,25,
22,Đậu hũ non hấp gừng,Đậu hũ - Trứng,vegetarian,55000,budget,"đậu hũ non,gừng,hành,nước tương","đậu hũ non,gừng,hành lá,nước tương,dầu mè,ớt","dau_hu,chay,hap,chay_duoc",Đậu hũ non hấp gừng nhẹ nhàng thanh mát.,1,7,15,
23,Đậu hũ nhồi thịt sốt nấm,Đậu hũ - Trứng,main_course,75000,affordable,"đậu hũ,thịt heo,nấm,tỏi,hành","đậu hũ,thịt heo xay,nấm đông cô,tỏi,hành lá,dầu hào,tiêu","dau_hu,heo,nấm,kho",Đậu hũ nhồi thịt kho sốt nấm đậm đà bắt cơm.,1,8,25,
24,Trứng vịt lộn xào me,Đậu hũ - Trứng,main_course,60000,affordable,"trứng vịt lộn,me,sả,ớt,rau răm","trứng vịt lộn,me chua,sả,ớt,rau răm,muối,tiêu","trung,xao,chua_ngot,dac_san",Trứng vịt lộn xào me chua ngọt rau răm thơm.,1,9,15,
25,Đậu hũ chiên sả ớt,Đậu hũ - Trứng,vegetarian,55000,budget,"đậu hũ,sả,ớt,tỏi,nước mắm","đậu hũ,sả,ớt,tỏi,nước mắm chay,đường,dầu chiên","dau_hu,chay,chien,cay,chay_duoc",Đậu hũ chiên vàng xào sả ớt giòn ngoài mềm trong.,1,10,15,
26,Canh cá nấu riêu,Canh,main_course,150000,moderate,"cá,cà chua,đậu hũ,rau,me","cá tươi,cà chua,đậu hũ chiên,rau rút,me chua,mắm tôm,ớt","canh,ca,chua,mien_bac",Canh riêu cá đậm vị miền Bắc chua cay hấp dẫn.,1,1,30,
27,Canh chua + cà pháo,Canh,main_course,110000,moderate,"cá,cà pháo,cà chua,dứa,rau om","cá,cà pháo,cà chua,dứa,giá đỗ,rau om,me,đường,muối","canh,ca,chua,dac_trung",Canh chua cá cà pháo giòn vị chua ngọt hài hòa.,1,2,25,
28,Canh chua cá bông lau,Canh,main_course,150000,moderate,"cá bông lau,cà chua,dứa,giá đỗ,rau om","cá bông lau,cà chua,dứa,giá đỗ,rau om,me,đường,muối,ớt","canh,ca,chua,mien_tay",Canh chua cá bông lau đặc trưng miền Tây thanh mát.,1,3,30,
29,Canh chua cá bớp,Canh,main_course,160000,premium,"cá bớp,cà chua,dứa,rau om,me","cá bớp tươi,cà chua,dứa,giá đỗ,rau om,me,đường,muối","canh,ca,chua,cao_cap",Canh chua cá bớp ngọt thịt nước canh thanh đậm vị.,1,4,30,
30,Canh chua cá dứa,Canh,main_course,170000,premium,"cá dứa,cà chua,dứa,rau om","cá dứa,cà chua,dứa,giá đỗ,rau om,me,đường,muối","canh,ca,chua,cao_cap,dac_san",Canh chua cá dứa thơm béo đặc sản miền Nam.,1,5,30,
31,Canh chua cá lăng,Canh,main_course,140000,moderate,"cá lăng,cà chua,me,dứa,rau","cá lăng,cà chua,me,dứa,giá đỗ,rau om,muối,đường","canh,ca,chua,ngot_thit",Canh chua cá lăng thịt ngọt chắc nước canh thanh.,1,6,30,
32,Canh chua cá mú đỏ,Canh,main_course,190000,premium,"cá mú đỏ,cà chua,dứa,me,rau","cá mú đỏ,cà chua,dứa,me,giá đỗ,rau om,muối,đường,ớt","canh,ca,chua,cao_cap,hai_san",Canh chua cá mú đỏ thịt trắng ngon nước canh chua thanh.,1,7,30,
33,Canh chua cá mú nghệ,Canh,main_course,190000,premium,"cá mú nghệ,cà chua,dứa,me,rau","cá mú nghệ,cà chua,dứa,me,rau om,nghệ tươi,muối,đường","canh,ca,chua,cao_cap,nghe",Canh chua cá mú nghệ màu vàng đẹp hương vị đặc biệt.,1,8,30,
34,Canh gà lá giang,Canh,main_course,140000,moderate,"gà,lá giang,sả,gừng,hành","gà ta,lá giang,sả,gừng,hành lá,muối,tiêu,nước mắm","canh,ga,chua,tay_nguyen",Canh gà lá giang chua tự nhiên đậm đà bổ dưỡng.,1,9,35,
35,Canh hến thì là,Canh,main_course,110000,moderate,"hến,thì là,cà chua,hành","hến tươi,thì là,cà chua,hành lá,nước dùng,muối,tiêu","canh,hai_san,thom,mien_trung",Canh hến thì là thơm ngọt nước tự nhiên.,1,10,20,
36,Canh khổ qua chả cá thác lác,Canh,main_course,140000,moderate,"khổ qua,cá thác lác,thịt heo,trứng","khổ qua,chả cá thác lác,thịt heo xay,trứng,nấm,hành,tiêu","canh,ca,kho_qua,bổ_duong",Khổ qua nhồi chả cá thác lác canh thanh đắng bổ.,1,11,35,
37,Canh sườn nấu sấu,Canh,main_course,140000,moderate,"sườn heo,sấu,cà chua,hành","sườn heo,sấu chua,cà chua,hành lá,muối,đường,tiêu","canh,heo,chua,mien_bac",Canh sườn sấu chua thanh đặc trưng Bắc Bộ.,1,12,40,
38,Canh xương cổ bò nấu khoai sọ,Canh,main_course,160000,moderate,"xương bò,khoai sọ,hành,tiêu","xương cổ bò,khoai sọ,hành tây,tiêu,muối,ngò gai","canh,bo,nau_lau,bổ_duong",Canh xương bò khoai sọ bùi béo ngọt xương bổ dưỡng.,1,13,60,
39,Canh cua cà pháo,Canh,main_course,120000,moderate,"cua đồng,cà pháo,cà chua,rau","cua đồng,cà pháo,cà chua,rau đay,mồng tơi,muối,mắm","canh,cua,dan_da,que_huong",Canh cua đồng cà pháo giòn hương vị đồng quê.,1,14,25,
40,Canh bí đỏ tôm,Canh,main_course,95000,affordable,"bí đỏ,tôm,hành,nước dùng","bí đỏ,tôm tươi,hành lá,nước dùng,muối,tiêu,đường","canh,tom,bi_do,nhe_nhan",Canh bí đỏ tôm tươi màu vàng đẹp ngọt bùi.,1,15,20,
41,Canh rau ngót thịt heo,Canh,main_course,85000,affordable,"rau ngót,thịt heo,hành","rau ngót,thịt heo xay,hành lá,nước mắm,muối,tiêu","canh,heo,rau,nhe_nhan",Canh rau ngót nấu thịt heo thanh đạm mát lành.,1,16,20,
42,Canh tim heo hầm thuốc Bắc,Canh,main_course,150000,moderate,"tim heo,thuốc bắc,táo đỏ,kỷ tử","tim heo,thuốc bắc,táo đỏ,kỷ tử,hành,muối","canh,heo,bổ_duong,thuoc_bac",Tim heo hầm thuốc Bắc bổ dưỡng tốt sức khỏe.,1,17,60,
43,Canh chua tôm,Canh,main_course,130000,moderate,"tôm,cà chua,dứa,giá đỗ,rau om","tôm tươi,cà chua,dứa,giá đỗ,rau om,me,đường,muối,ớt","canh,tom,chua,mien_tay",Canh chua tôm tươi ngọt đậm đà hấp dẫn.,1,18,20,
44,Rau tập tàng luộc chấm tương,Rau,vegetarian,65000,affordable,"rau tập tàng,tương hoisin","rau dền,rau lang,rau rừng,rau sam,tương hoisin chay","rau,chay,luoc,chay_duoc,que_huong",Rau tập tàng đa dạng luộc chấm tương hoisin.,1,1,15,
45,Rau thập cẩm luộc kho quẹt,Rau,vegetarian,70000,affordable,"rau thập cẩm,thịt mỡ,nước mắm,đường","rau muống,bắp cải,đậu rồng,thịt mỡ,nước mắm,đường","rau,chay_duoc,luoc,kho_quet",Rau luộc xanh mướt ăn kèm kho quẹt đậm đà.,1,2,15,
46,Cần tây sốt hải sản,Rau,main_course,120000,moderate,"cần tây,tôm,mực,tỏi,dầu hào","cần tây,tôm,mực,tỏi,dầu hào,nước tương,tiêu","rau,hai_san,xao,giai_nhiet",Cần tây xào hải sản thanh mát tốt sức khỏe.,1,3,15,
47,Salad cải mầm trứng,Rau,vegetarian,79000,affordable,"cải mầm,trứng,cà chua,sốt mè","cải mầm,trứng luộc,cà chua bi,hành tây,sốt mè rang,vừng","rau,chay,salad,chay_duoc,tuoi_mat",Salad cải mầm giòn ngọt trứng luộc sốt mè thơm.,1,4,10,
48,Rau muống xào tỏi,Rau,vegetarian,55000,budget,"rau muống,tỏi,dầu ăn,muối","rau muống,tỏi,dầu ăn,muối,nước mắm,ớt","rau,chay,xao,chay_duoc,co_ban",Rau muống xào tỏi giòn xanh món cơ bản không thể thiếu.,1,5,10,
49,Cải thìa xào nấm,Rau,vegetarian,60000,budget,"cải thìa,nấm đông cô,tỏi,dầu hào","cải thìa,nấm đông cô,tỏi,dầu hào chay,muối,đường,tiêu","rau,chay,xao,nấm,chay_duoc",Cải thìa xào nấm đông cô thanh ngọt dinh dưỡng.,1,6,10,
50,Đậu que xào thịt bò,Rau,main_course,85000,affordable,"đậu que,thịt bò,tỏi,dầu ăn","đậu que,thịt bò,tỏi,dầu ăn,nước mắm,tiêu,đường,ớt","rau,bo,xao,man",Đậu que xào bò giòn ngọt đậm đà hấp dẫn.,1,7,15,
51,Bông cải xào tôm,Rau,main_course,85000,affordable,"bông cải,tôm,tỏi,dầu ăn","bông cải trắng,tôm tươi,tỏi,dầu ăn,nước mắm,muối,tiêu","rau,tom,xao,man",Bông cải xào tôm tươi ngọt màu sắc bắt mắt.,1,8,15,
52,Ba rọi luộc + cà pháo,Rau,main_course,130000,moderate,"ba rọi,cà pháo,nước mắm,tỏi","thịt ba rọi,cà pháo giòn,nước mắm,tỏi,ớt,chanh","rau,heo,luoc,que_huong",Ba rọi luộc ăn kèm cà pháo giòn chấm mắm tỏi.,1,9,25,
53,Ba rọi luộc + tôm chua,Rau,main_course,140000,moderate,"ba rọi,tôm chua,rau sống","thịt ba rọi,tôm chua Huế,xà lách,rau thơm,bánh tráng","rau,heo,tom_chua,mien_trung",Ba rọi luộc tôm chua Huế chua cay đặc sắc.,1,10,25,
54,Ba rọi rang cháy cạnh,Rau,main_course,120000,moderate,"ba rọi,nước mắm,đường,tỏi","thịt ba rọi,nước mắm,đường,tỏi,tiêu,dầu ăn","rau,heo,rang,bat_com",Ba rọi rang cháy cạnh vàng giòn bắt cơm đậm đà.,1,11,20,
55,Khổ qua xào trứng,Rau,vegetarian,65000,affordable,"khổ qua,trứng,tỏi,nước mắm","khổ qua,trứng gà,tỏi,nước mắm,đường,dầu ăn","rau,chay_duoc,xao,giai_nhiet",Khổ qua xào trứng vị đắng nhẹ thanh nhiệt.,1,12,15,
56,Rau lang xào tỏi,Rau,vegetarian,50000,budget,"rau lang,tỏi,dầu ăn","rau lang,tỏi,dầu ăn,muối,nước mắm","rau,chay,xao,chay_duoc",Rau lang non xào tỏi thơm đơn giản ngon.,1,13,10,
57,Mướp đắng xào thịt bò,Rau,main_course,90000,affordable,"mướp đắng,thịt bò,trứng,tỏi","mướp đắng,thịt bò,trứng,tỏi,nước mắm,đường,dầu ăn","rau,bo,xao,giai_nhiet",Mướp đắng xào bò thanh mát bổ dưỡng.,1,14,15,
58,Cá kho làng Vũ Đại,Heo,main_course,180000,premium,"cá trắm,riềng,nước mắm,thịt ba chỉ","cá trắm đen,riềng,nước mắm,thịt ba chỉ,nước màu,đường,ớt","heo,ca,kho,mien_bac,dac_san",Cá kho làng Vũ Đại truyền thống thấm gia vị qua nhiều giờ.,1,1,120,
59,Sườn ram mặn ngọt,Heo,main_course,130000,moderate,"sườn heo,nước mắm,đường,tỏi,ớt","sườn heo,nước mắm,đường,tỏi,ớt,dầu ăn,hành lá","heo,kho,ngot,bat_com",Sườn ram vàng óng ngọt mặn cân bằng bắt cơm.,1,2,30,
60,Giò heo hầm thuốc bắc,Heo,main_course,200000,premium,"giò heo,thuốc bắc,táo đỏ,kỷ tử","giò heo,thuốc bắc,táo đỏ,kỷ tử,gừng,muối","heo,ham,thuoc_bac,bổ_duong",Giò heo hầm thuốc Bắc mềm nhừ bổ dưỡng.,1,3,90,
61,Thịt kho tàu,Heo,main_course,110000,moderate,"ba chỉ,trứng,nước dừa,nước mắm","thịt ba chỉ,trứng vịt,nước dừa,nước mắm,đường,hành tím,tiêu","heo,kho,man,bat_com",Thịt kho tàu mềm thấm gia vị ăn kèm cơm niêu.,1,4,60,
62,Chân giò heo luộc,Heo,main_course,160000,moderate,"chân giò,gừng,muối,hành","chân giò heo,gừng,muối,hành lá,nước chấm mắm tỏi ớt","heo,luoc,gion,don_gian",Chân giò luộc chín da giòn thịt mềm chấm mắm tỏi.,1,5,45,
63,Heo quay giòn bì,Heo,main_course,180000,premium,"thịt heo,muối,giấm,ngũ vị hương","thịt heo ba chỉ,muối,giấm,ngũ vị hương,dầu ăn,tỏi","heo,quay,gion,cao_cap",Heo quay bì giòn vàng rụm thịt mềm thơm.,1,6,90,
64,Giò heo muối mè,Heo,main_course,170000,premium,"giò heo,muối,mè,gia vị","giò heo,muối,mè rang,ớt bột,tỏi,dầu ăn","heo,nuong,me,thom",Giò heo ướp muối mè rang thơm nướng giòn.,1,7,40,
65,Sườn nướng mật ong,Heo,main_course,150000,moderate,"sườn heo,mật ong,tỏi,gừng,nước mắm","sườn heo,mật ong,tỏi,gừng,nước mắm,dầu ăn,tiêu,ớt bột","heo,nuong,mat_ong,thom",Sườn nướng mật ong óng ánh ngọt thơm cháy nhẹ.,1,8,30,
66,Thịt ba chỉ cuốn lá lốt,Heo,main_course,130000,moderate,"ba chỉ,lá lốt,riềng,sả,muối","thịt ba chỉ,lá lốt,riềng,sả,muối,tiêu,mỡ hành","heo,nuong,la_lot,thom",Ba chỉ cuốn lá lốt nướng thơm mùi lá lốt.,1,9,25,
67,Nem nướng Nha Trang,Heo,main_course,130000,moderate,"thịt heo,tỏi,đường,nước mắm,bánh hỏi","thịt heo xay,tỏi,đường,nước mắm,bánh hỏi,rau sống,nước chấm","heo,nuong,cuon,nha_trang",Nem nướng Nha Trang cuốn bánh hỏi rau sống chấm nước chấm.,1,10,30,
68,Chả lụa chiên,Heo,main_course,90000,affordable,"thịt heo,tinh bột,hành,trứng","thịt heo xay,bột năng,hành tím,trứng,muối,tiêu,nước mắm,dầu chiên","heo,chien,man,co_ban",Chả lụa chiên vàng giòn ngoài mềm thơm trong.,1,11,20,
69,Thịt kho gừng,Heo,main_course,95000,affordable,"thịt heo,gừng,nước mắm,đường,tiêu","thịt heo ba chỉ,gừng tươi,nước mắm,đường,tiêu,hành tím","heo,kho,gung,am",Thịt kho gừng ấm nóng thấm gia vị mùa mưa.,1,12,40,
70,Sườn xào chua ngọt,Heo,main_course,130000,moderate,"sườn heo,cà chua,dứa,ớt chuông","sườn heo,cà chua,dứa,ớt chuông,tỏi,đường,giấm,nước tương","heo,xao,chua_ngot,mau_sac",Sườn xào chua ngọt màu sắc bắt mắt vị cân bằng.,1,13,25,
71,Thịt heo luộc mắm nêm,Heo,main_course,110000,moderate,"ba chỉ,mắm nêm,sả,ớt,dứa","thịt ba chỉ,mắm nêm,sả,ớt,dứa,tỏi","heo,luoc,mam_nem,mien_trung",Ba chỉ luộc chấm mắm nêm sả ớt miền Trung.,1,14,30,
72,Bao tử heo hầm tiêu xanh,Heo,main_course,140000,moderate,"bao tử heo,tiêu xanh,sả,gừng","bao tử heo,tiêu xanh Phú Quốc,sả,gừng,hành,muối","heo,ham,tieu_xanh,cay",Bao tử heo hầm tiêu xanh Phú Quốc cay nồng.,1,15,60,
73,Chả chiên cá thác lác,Heo,main_course,120000,moderate,"cá thác lác,thịt heo,hành,tiêu,trứng","cá thác lác,thịt heo xay,hành lá,tiêu,trứng,muối,dầu chiên","heo,ca,chien,thom",Chả cá thác lác chiên vàng thơm đậm vị.,1,16,20,
74,Cá lóc kho tộ,Cá,main_course,140000,moderate,"cá lóc,nước mắm,tiêu,hành,đường","cá lóc,nước mắm,tiêu,hành tím,đường,ớt,nước màu","ca,kho,bat_com,mien_tay",Cá lóc kho tộ đậm đà miền Tây thịt chắc ngọt.,1,1,40,
75,Cá diêu hồng hấp xì dầu,Cá,main_course,160000,moderate,"cá diêu hồng,xì dầu,gừng,hành","cá diêu hồng,xì dầu,gừng,hành lá,dầu mè,tỏi","ca,hap,thanh,xì_dau",Cá diêu hồng hấp xì dầu thịt ngọt mềm nước sốt đậm.,1,2,25,
76,Cá diêu hồng chiên giòn,Cá,main_course,160000,moderate,"cá diêu hồng,bột chiên,dầu chiên,muối","cá diêu hồng,bột chiên xù,dầu chiên,muối,tiêu","ca,chien,gion,thom",Cá diêu hồng chiên vàng giòn ăn kèm nước chấm.,1,3,20,
77,Cá bông lau kho tộ,Cá,main_course,170000,moderate,"cá bông lau,nước mắm,tiêu,hành","cá bông lau,nước mắm,tiêu,hành tím,đường,ớt,nước màu","ca,kho,bat_com,mien_tay",Cá bông lau kho tộ thịt béo đậm vị bắt cơm.,1,4,40,
78,Cá thu chiên mắm gừng,Cá,main_course,150000,moderate,"cá thu,nước mắm,gừng,tỏi,ớt","cá thu,nước mắm,gừng,tỏi,ớt,đường,dầu chiên","ca,chien,mam_gung,thom",Cá thu chiên chấm mắm gừng chua cay đậm vị.,1,5,20,
79,Cá lăng nướng muối ớt,Cá,main_course,200000,premium,"cá lăng,muối,ớt,sả,riềng","cá lăng,muối,ớt,sả,riềng,nước mắm,dầu ăn","ca,nuong,muoi_ot,cao_cap",Cá lăng nướng muối ớt thịt ngọt chắc ăn kèm bún.,1,6,30,
80,Cá mú hấp Hồng Kông,Cá,main_course,280000,premium,"cá mú,xì dầu,gừng,hành,dầu mè","cá mú tươi,xì dầu,gừng,hành lá,dầu mè,ớt sừng","ca,hap,hong_kong,cao_cap",Cá mú hấp Hồng Kông chuẩn vị thịt mềm ngọt.,1,7,25,
81,Cá lóc nướng trui,Cá,main_course,180000,premium,"cá lóc,muối,ớt,sả","cá lóc,muối,ớt,sả,mỡ hành,bánh tráng,rau sống","ca,nuong,dan_gian,cao_cap",Cá lóc nướng trui than hồng ăn cuốn bánh tráng.,1,8,35,
82,Cá bớp sốt me,Cá,main_course,200000,premium,"cá bớp,me,tỏi,ớt,đường","cá bớp,me,tỏi,ớt,đường,nước mắm,dầu ăn","ca,sot_me,chua_ngot,cao_cap",Cá bớp sốt me chua ngọt thịt béo đặc biệt.,1,9,25,
83,Cá trê nướng sả ớt,Cá,main_course,130000,moderate,"cá trê,sả,ớt,muối,riềng","cá trê,sả,ớt,muối,riềng,nước mắm","ca,nuong,sa_ot,dan_gian",Cá trê nướng sả ớt thơm lừng vị đặc trưng.,1,10,25,
84,Cá chép kho riềng,Cá,main_course,160000,moderate,"cá chép,riềng,nước mắm,thịt ba chỉ","cá chép,riềng,nước mắm,thịt ba chỉ,nước màu,đường,ớt","ca,kho,rieng,dam_da",Cá chép kho riềng đậm đà truyền thống.,1,11,60,
85,Cá hú kho thơm,Cá,main_course,150000,moderate,"cá hú,thơm,nước mắm,đường","cá hú,dứa thơm,nước mắm,đường,tỏi,ớt,hành","ca,kho,thom,chua_ngot",Cá hú kho thơm chua ngọt thịt mềm đậm vị.,1,12,35,
86,Cá diêu hồng sốt cà chua,Cá,main_course,150000,moderate,"cá diêu hồng,cà chua,tỏi,hành,đường","cá diêu hồng,cà chua,tỏi,hành lá,đường,nước mắm,dầu ăn","ca,sot,ca_chua,chua_ngot",Cá diêu hồng sốt cà chua đậm đà màu sắc hấp dẫn.,1,13,25,
87,Cá lóc hấp bầu,Cá,main_course,160000,moderate,"cá lóc,bầu,hành,gừng","cá lóc,bầu,hành lá,gừng,nước mắm,muối","ca,hap,bau,thanh_nhe",Cá lóc hấp bầu thanh mát nước canh ngọt tự nhiên.,1,14,25,
88,Cá ngừ chiên sốt tỏi,Cá,main_course,220000,premium,"cá ngừ,tỏi,ớt,chanh,dầu ăn","cá ngừ đại dương,tỏi phi,ớt,chanh,dầu ăn,nước mắm,tiêu","ca,chien,toi,cao_cap",Cá ngừ đại dương chiên sốt tỏi phi thơm.,1,15,20,
89,Lẩu cá bóp măng chua,Lẩu,main_course,280000,premium,"cá bóp,măng chua,sả,ớt,rau","cá bóp,măng chua,sả,ớt,rau,bún,nước dùng","lau,ca,mang_chua,cay,nhieu_nguoi",Lẩu cá bóp măng chua vị đặc trưng thịt cá ngọt.,1,1,30,
90,Lẩu cá bóp nấu ngót,Lẩu,main_course,280000,premium,"cá bóp,rau ngót,cà chua,me","cá bóp,rau ngót,cà chua,me,sả,ớt,bún","lau,ca,nau_ngot,thanh,nhieu_nguoi",Lẩu cá bóp nấu ngót chua thanh ngọt nước.,1,2,30,
91,Lẩu cá chạch quế om chuối đậu,Lẩu,main_course,260000,premium,"cá chạch,chuối xanh,đậu hũ,quế,sả","cá chạch,chuối xanh,đậu hũ,quế,sả,riềng,mẻ,nước dùng","lau,ca,chuoi_dau,mien_bac,nhieu_nguoi",Lẩu cá chạch quế om đặc trưng miền Bắc thơm lừng.,1,3,35,
92,Lẩu cá lăng nấu măng chua,Lẩu,main_course,300000,premium,"cá lăng,măng chua,sả,ớt,rau","cá lăng,măng chua,sả,ớt,rau,bún,nước dùng chua","lau,ca,mang_chua,nhieu_nguoi",Lẩu cá lăng măng chua thịt ngọt nước chua ngọt.,1,4,30,
93,Lẩu hải sản thái,Lẩu,main_course,320000,premium,"tôm,mực,cá,cà chua,sả,nấm","tôm,mực,cá,cà chua,sả,ớt,nấm,rau,bún,nước dùng thái","lau,hai_san,cay,thai,nhieu_nguoi",Lẩu hải sản Thái cay nồng nhiều hải sản tươi.,1,5,25,
94,Lẩu bò nhúng dấm,Lẩu,main_course,350000,premium,"thịt bò,giấm,sả,rau,bún","thịt bò tươi,giấm,sả,rau muống,bún,nước chấm,đậu phộng","lau,bo,dấm,chua,nhieu_nguoi",Lẩu bò nhúng dấm chua thanh thịt tươi cuốn rau.,1,6,25,
95,Lẩu gà nấu nấm,Lẩu,main_course,280000,premium,"gà,nấm đông cô,nấm rơm,gừng,sả","gà ta,nấm đông cô,nấm rơm,gừng,sả,rau cải,bún","lau,ga,nấm,nong,nhieu_nguoi",Lẩu gà nấm nóng hổi nước dùng ngọt tự nhiên.,1,7,35,
